FMID|MarketName|Website|Street|City|County|State|Zip|Schedule|x|y|Location|Credit|WIC|WICcash|SFMNP|SNAP|Bakedgoods|Cheese|Crafts|Flowers|Eggs|Seafood|Herbs|Vegetables|Honey|Jams|Maple|Meat|Nursery|Nuts|Plants|Poultry|Prepared|Soap|Trees|Wine|updateTime
1003713|Abingdon Square Greenmarket|http://www.grownyc.org|W12 St. & 8th Ave|New York|New York|New York|10014|January - December Saturday 8:00 AM to 2:00 PM|-74.00528|40.737177|Other|Y|Y|Y|Y|N|Y|Y|N|N|Y|Y|Y|Y|N|Y|N|Y|N|N|N|Y|N|N|N|N|5/18/2012 3:45:12 PM
22004564|Abington||362 Plymouth Street|Abington|Plymouth|Massachusetts|2351||-70.9369|42.119||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2011
22003181|Abington Farmers Market||12055 Rose Drove|Clarks Summit|Lackawanna|Pennsylvania|||-75.7746|41.425||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
1002771|ABQ Uptown Growers' Market|http://www.abquptowngrowersmarket.org|1200 Block of Central Ave NE|Albuquerque|Bernalillo|New Mexico||June - October Tuesday 7:00 AM to 12:00 PM|-106.633172|35.082375|Healthcare Institution|Y|Y|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|5/9/2012 5:38:03 PM
1002771|ABQ Uptown Growers' Market|http://www.abquptowngrowersmarket.org|NE parking lot of ABQ Uptown shopping center|Albququerque|Bernalillo|New Mexico||June - October Saturday 7:00 AM to 12:00 PM|-106.565838|35.103988|Other|Y|Y|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|5/9/2012 5:38:03 PM
1000998|Acacia Park Farmers Market|http://www.millerfarms.net|115 E. Platte Ave.|Colorado Springs|El Paso|Colorado|80903|June - October Monday 10:00 AM to 3:00 PM|-104.8230377|38.8380842|Local government building grounds|Y|N|N|N|Y|Y|Y|Y|Y|Y|N|N|Y|Y|Y|N|Y|N|N|Y|N|Y|Y|N|N|4/26/2012 3:10:50 PM
22001119|Acadia Farmers' Market in Town Hill|||Town Hill|Hancock|Maine|||-68.9716|44.5908||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
22003068|Acadian Farmers Market||801 Foreman Dr|Lafayette|Lafayette Parish|Louisiana|||-92.0636|30.2144||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
22004651|Acadiana Farmers Market||801 Foreman Drive|Opelousas|Lafayette|Louisiana|70570||-92.0634|30.2147||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2011
22004652|Ace Farmers Market||115 Black River Blvd|Rome|Oneida|New York|||-75.4541|43.2098||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2011
1004021|Acton-Boxborough Farmers Market|http://www.ABFarmersMarket.org|1 Pearl St|Acton|Middlesex|Massachusetts|1720|June - October Sunday 10:00 AM to 1:00 PM, (June 17- October 21)|-71.47415|42.47518|Closed-off public street|N|Y|N|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|N|Y|Y|Y|Y|Y|N|Y|N|Y|5/24/2012 1:08:35 PM
1003737|Acushnet farmers market|http://Www.stonebridgefarm.com|186 Leonard Street|Acushnet|Bristol|Massachusetts|2743|June - October Saturday 9:00 AM to 1:00 PM|-70.8999|41.7199|On a farm from: a barn, a greenhouse, a tent, a stand, etc|N|N|N|N|N|Y|N|N|Y|Y|N|Y|Y|Y|Y|N|N|N|N|Y|N|Y|N|N|N|5/18/2012 8:25:54 PM
22004000|Acworth Farmers Market||Main and Lemon Streets|Acworth|Cobb|Georgia|||-84.6767|34.0657||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
1002995|Ada Area Chamber of Commerce Farmers Market||Ada Depot Parking Lot|Ada|Hardin|Ohio|45810|June - September Thursday 4:30 PM to 6:30 PM|-83.82185|40.77057|Local government building grounds|N|N|N|N|N|Y|N|Y|N|N|N|Y|Y|Y|N|N|N|Y|N|Y|N|N|Y|N|N|5/14/2012 8:54:05 AM
21001922|Ada Farmer's Market||12th Street and Townsend|Ada|Pontotoc|Oklahoma|74820|January - December Wednesday 6:00 am to 2:00 pm, Saturday 6:00 am to 2:00 pm|-96.6797|34.7739|Private business parking lot|N|N|N|N|N|N|N|N|N|N|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|N|N|Jun 4 2010 4:34PM
1003945|Ada Farmers' Market|http://www.adafarmersmarket.com|7239 Thornapple River Dr.|Ada|Kent|Michigan|49301|June - September Tuesday 12:00 PM to 6:00 PM, (The Ada Farmers' Market opens at noon on June 19 for the 2012 season.)|-85.4889683|42.9553715|Faith-based institution (e.g., church, mosque, synagogue, temple)|N|N|N|N|Y|Y|Y|N|Y|Y|N|Y|Y|Y|Y|Y|Y|Y|N|Y|Y|Y|N|N|N|5/22/2012 8:03:01 PM
22004462|AdairCo Farmers Market||409 Fairground Street, Adair County co-op ext service parking lot|Columbia|Adair County|Kentucky|||-85.297|37.1043||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2011
22000623|Adams County Farmers' Market Association|http://www.acfarmersmarkets.org|Gettysburg Recreation Park 545 Long Lane|Gettysburg|Adams|Pennsylvania|17325|May - October Wednesday 12:00 PM to 4:00 PM|-77.237298|39.825018|Other|Y|Y|N|Y|Y|Y|Y|N|Y|Y|N|Y|Y|Y|Y|N|Y|Y|N|Y|Y|N|Y|N|N|7/14/2012 12:11:41 PM
22000623|Adams County Farmers' Market Association|http://www.acfarmersmarkets.org|The Outlet Shoppes - 1863 Gettyburg Village Dr.|Gettysburg|Adams|Pennsylvania|17325|May - October Friday 9:30 AM to 5:00 PM, Saturday 9:30 AM to 2:00 PM|-77.201807|39.796024|Private business parking lot|Y|Y|N|Y|Y|Y|Y|N|Y|Y|N|Y|Y|Y|Y|N|Y|Y|N|Y|Y|N|Y|N|N|7/14/2012 12:11:41 PM
22004010|Adams Farmers Market||60 Columbia Street|Adams||Massachusetts|1220||-73.1158|42.6293||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
22002208|Adams Morgan Farmers Market||18th St. and Columbia Rd. NW|Washington|District of Columbia|District of Columbia|20009||-77.0426|38.9226||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
22004653|Added Value Farm Stand at Governors Island||Gresham Rd|Brooklyn|Kings|New York|11231-1235||-74.0231|40.6875||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2011
22003240|Addison Farmers Market||One Friendship Plaza|Addison|DuPage|Illinois|60101||-87.9934|41.9321||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
22003524|Adel Farmers Market||Courthouse Square|Adel|Dallas|Iowa|50830||-94.0175|41.6144||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
22002699|Adelanto Stadium Farmers Market||Hwy 395 & Rancho Drive|Victorville|San Bernardino|California|92392||-117.405|34.5593||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
22004182|AGH Wellness Committee Farmer's Market||9733 Healthway Drive|Berlin|Worcester|Maryland|21811||-75.2113|38.3388||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|7/23/2011 11:58:45 PM
1001884|Agricenter International Farmers Market|http://www.agricenter.org|7777 Walnut Grove Road|Memphis|Shelby|Tennessee|38120|May - October Monday - Friday 7:30 AM to 5:30 PM, Saturday 7:00 AM to 5:30 PM|-89.80535|35.1327587|Local government building grounds|Y|N|N|Y|N|Y|N|Y|Y|Y|Y|Y|Y|Y|N|Y|Y|Y|Y|Y|Y|Y|Y|Y|N|5/1/2012 6:47:53 AM
22002651|Agritopia Farm Stand|http://www.agritopia.com|3000 E. Ray Road (Higley & Ray)|Gilbert|Maricopa|Arizona|85233||-111.726|33.3219||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
1003072|Ahwatukee Farmers' Market|http://www.arizonafarmersmarkets.com|4700 E. Warner Rd.|Phoenix|Maricopa|Arizona|85044||-111.979845|33.330349|Other|N|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|N|Y|Y|Y|Y|Y|Y|Y|Y|N|5/14/2012 3:35:13 PM
1003652|Aiken County Farmers Market|http://www.cityofaikensc.gov|897 Richland Avenue East|Aiken|Aiken|South Carolina|29801|April Tuesday 7:00 AM to 2:00 PM, Thursday - Saturday 7:00 AM to 2:00 PM May - September Monday - Saturday 7:00 AM to 2:00 PM October - December Tuesday 7:00 AM to 2:00 PM, Thursday - Saturday 7:00 AM to 2:00 PM|-81.7084941|33.5568819|Local government building grounds|N|N|N|N|N|Y|Y|Y|Y|Y|N|Y|Y|Y|Y|Y|Y|Y|N|Y|N|N|Y|N|N|5/18/2012 8:32:28 AM
22004283|Akebono Farmers’ Market||Akebono Parking Lot|Pahoa|Hawaii County|Hawaii|||-154.951|19.4975||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2011
22000946|Akers of Strawberries||1054 Melton Rd.|Baker|Okaloosa|Florida|32531||-86.7014|30.7979||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Jun 7 2010 10:59AM
